city,state,year,population,lon,lat
"Anchorage, AK",AK,1790,0,-149.2743541,61.177549
"Birmingham, AL",AL,1790,0,-86.799047,33.5274441
"Huntsville, AL",AL,1790,0,-86.5389964,34.7842707
"Mobile, AL",AL,1790,0,-88.1002261,30.668426
"Montgomery, AL",AL,1790,0,-86.2685927,32.3462512
"Little Rock, AR",AR,1790,0,-92.358556,34.7254318
"Chandler, AZ",AZ,1790,0,-111.8549429,33.2828736
"Gilbert, AZ",AZ,1790,0,-111.7421907,33.3102088
"Glendale, AZ",AZ,1790,0,-112.1899006,33.5331113
"Mesa, AZ",AZ,1790,0,-111.7173787,33.4019259
"Peoria, AZ",AZ,1790,0,-112.3110998,33.7877083
"Phoenix, AZ",AZ,1790,0,-112.0879662,33.5721625
"Scottsdale, AZ",AZ,1790,0,-111.8236822,33.6687267
"Tempe, AZ",AZ,1790,0,-111.9317823,33.3884143
"Tucson, AZ",AZ,1790,0,-110.8710622,32.1542888
"Anaheim, CA",CA,1790,0,-117.7600707,33.8554971
"Antioch, CA",CA,1790,0,-121.7976176,37.977541
"Bakersfield, CA",CA,1790,0,-119.0182915,35.3212129
"Berkeley, CA",CA,1790,0,-122.2990661,37.8667016
"Burbank, CA",CA,1790,0,-118.3248656,34.1889857
"Carson, CA",CA,1790,0,-118.2495736,33.840367
"Chula Vista, CA",CA,1790,0,-117.0151695,32.6276701
"Compton, CA",CA,1790,0,-118.2273742,33.892614
"Concord, CA",CA,1790,0,-122.0015843,37.9721785
"Corona, CA",CA,1790,0,-117.5638573,33.862352
"Costa Mesa, CA",CA,1790,0,-117.9123358,33.6659055
"Daly City, CA",CA,1790,0,-122.4649783,37.7009406
"Downey, CA",CA,1790,0,-118.1308561,33.9382375
"El Cajon, CA",CA,1790,0,-116.9604818,32.801659
"El Monte, CA",CA,1790,0,-118.0291358,34.0746329
"Escondido, CA",CA,1790,0,-117.073223,33.1336477
"Fairfield, CA",CA,1790,0,-122.039719,38.256757
"Fontana, CA",CA,1790,0,-117.4626845,34.108793
"Fremont, CA",CA,1790,0,-121.9411173,37.4943734
"Fresno, CA",CA,1790,0,-119.794492,36.7826736
"Fullerton, CA",CA,1790,0,-117.9280246,33.8857143
"Garden Grove, CA",CA,1790,0,-117.9604719,33.7787816
"Glendale, CA",CA,1790,0,-118.2458301,34.1813929
"Hayward, CA",CA,1790,0,-122.1063408,37.6281392
"Huntington Beach, CA",CA,1790,0,-118.00933,33.6905687
"Inglewood, CA",CA,1790,0,-118.3442743,33.9560678
"Irvine, CA",CA,1790,0,-117.7712541,33.6783986
"Lancaster, CA",CA,1790,0,-118.1753054,34.693558
"Long Beach, CA",CA,1790,0,-118.1553273,33.8091018
"Los Angeles, CA",CA,1790,0,-118.4108248,34.0193936
"Mission Viejo, CA",CA,1790,0,-117.656471,33.6093352
