major	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
Biological Sciences	"1,269,666"	"1,390,405"	"1,464,087"	"1,509,616"	"1,547,362"	"1,585,541"	"1,614,600"	"1,648,266"	"1,673,612"	"1,699,164"	"1,720,316"	"1,749,321"	"1,771,627"	"1,793,675"	"1,820,503"	"1,840,354"	"1,861,504"	"1,882,805"	"1,900,486"	"1,920,329"	"1,938,151"	"1,953,642"	"1,971,582"	"1,989,434"	"2,006,485"	"2,029,086"	"2,046,554"	"2,065,210"	"2,077,999"	"2,093,133"	"2,110,227"	"2,129,264"	"2,145,846"	"2,163,848"	"2,183,560"	"2,200,284"	"2,219,069"	"2,229,460"	"2,245,071"	"2,262,752"	"2,280,297"	"2,292,876"	"2,311,016"	"2,327,262"	"2,346,901"	"2,362,387"	"2,382,730"	"2,397,264"	"2,410,292"	"2,429,106"	"2,438,785"	"2,453,814"	"2,474,392"	"2,490,902"	"2,506,878"	"2,529,551"	"2,548,752"	"2,569,107"	"2,592,304"	"2,610,730"	"2,634,513"	"2,657,428"	"2,674,180"	"2,697,659"	"2,715,799"	"2,732,910"	"2,760,569"	"2,782,244"	"2,804,891"	"2,829,653"	"2,866,308"	"2,893,252"	"2,914,646"	"2,944,006"	"2,975,389"	"3,001,579"	"3,033,323"	"3,067,914"	"3,095,778"	"3,135,022"	"3,180,698"	"3,222,367"	"3,250,205"	"3,283,898"	"3,332,313"	"3,395,479"	"3,438,331"	"3,496,826"	"3,562,563"	"3,631,010"	"3,715,918"	"3,792,908"	"3,872,473"	"3,943,455"	"4,075,284"	"4,212,787"	"4,453,302"	"4,691,979"	"5,207,807"
Chemical Engineering	"2,028,795"	"2,147,351"	"2,254,166"	"2,319,692"	"2,386,572"	"2,448,962"	"2,504,898"	"2,557,206"	"2,594,189"	"2,630,469"	"2,657,283"	"2,685,360"	"2,712,398"	"2,749,654"	"2,775,576"	"2,804,945"	"2,850,140"	"2,881,420"	"2,912,577"	"2,937,087"	"2,974,023"	"3,005,521"	"3,028,800"	"3,063,838"	"3,085,158"	"3,105,201"	"3,129,696"	"3,156,791"	"3,181,595"	"3,211,729"	"3,242,760"	"3,260,118"	"3,278,239"	"3,300,866"	"3,320,538"	"3,348,332"	"3,369,555"	"3,394,119"	"3,419,121"	"3,443,375"	"3,465,375"	"3,481,803"	"3,502,757"	"3,530,417"	"3,556,121"	"3,581,992"	"3,601,860"	"3,622,819"	"3,645,592"	"3,670,773"	"3,691,486"	"3,713,557"	"3,742,376"	"3,767,353"	"3,797,765"	"3,823,637"	"3,851,636"	"3,876,244"	"3,902,715"	"3,933,395"	"3,955,257"	"3,990,255"	"4,016,032"	"4,044,045"	"4,086,171"	"4,118,343"	"4,149,350"	"4,174,147"	"4,195,735"	"4,222,143"	"4,266,494"	"4,304,206"	"4,336,325"	"4,376,309"	"4,426,334"	"4,461,756"	"4,503,803"	"4,549,769"	"4,597,409"	"4,628,001"	"4,677,706"	"4,712,410"	"4,757,887"	"4,837,078"	"4,905,321"	"4,948,195"	"5,011,856"	"5,077,432"	"5,140,392"	"5,229,438"	"5,333,869"	"5,455,225"	"5,542,253"	"5,693,397"	"5,903,453"	"6,107,510"	"6,345,219"	"6,669,081"	"7,319,814"
Chemistry	"1,302,574"	"1,436,241"	"1,500,026"	"1,557,105"	"1,616,318"	"1,660,046"	"1,696,953"	"1,736,259"	"1,773,101"	"1,799,256"	"1,826,973"	"1,858,338"	"1,880,920"	"1,904,519"	"1,927,293"	"1,947,722"	"1,967,006"	"1,989,727"	"2,012,761"	"2,038,706"	"2,061,876"	"2,090,926"	"2,118,338"	"2,133,958"	"2,151,894"	"2,169,250"	"2,184,702"	"2,202,028"	"2,223,571"	"2,246,778"	"2,266,962"	"2,290,976"	"2,308,662"	"2,323,442"	"2,336,328"	"2,351,194"	"2,369,994"	"2,391,902"	"2,410,809"	"2,427,064"	"2,448,256"	"2,469,981"	"2,486,980"	"2,508,547"	"2,531,315"	"2,547,605"	"2,563,976"	"2,582,610"	"2,599,428"	"2,616,800"	"2,629,382"	"2,653,292"	"2,676,010"	"2,700,982"	"2,721,173"	"2,739,636"	"2,768,946"	"2,790,272"	"2,817,812"	"2,840,640"	"2,859,341"	"2,882,785"	"2,909,524"	"2,940,331"	"2,964,849"	"2,983,656"	"3,005,388"	"3,035,582"	"3,062,450"	"3,088,274"	"3,111,120"	"3,142,617"	"3,174,166"	"3,200,586"	"3,229,870"	"3,266,178"	"3,301,497"	"3,340,827"	"3,387,565"	"3,416,126"	"3,458,594"	"3,502,584"	"3,537,405"	"3,582,219"	"3,635,863"	"3,684,956"	"3,748,862"	"3,792,289"	"3,854,731"	"3,918,088"	"4,010,753"	"4,096,808"	"4,198,227"	"4,310,940"	"4,455,254"	"4,639,064"	"4,841,104"	"5,178,746"	"5,593,503"
Civil Engineering	"1,814,954"	"1,945,067"	"2,022,779"	"2,079,772"	"2,112,482"	"2,157,745"	"2,195,059"	"2,231,145"	"2,266,927"	"2,310,600"	"2,336,736"	"2,362,263"	"2,391,744"	"2,411,056"	"2,441,689"	"2,462,416"	"2,480,576"	"2,501,463"	"2,528,931"	"2,552,411"	"2,567,158"	"2,582,933"	"2,603,316"	"2,624,974"	"2,642,529"	"2,658,892"	"2,673,271"	"2,689,053"	"2,707,528"	"2,729,647"	"2,751,510"	"2,772,502"	"2,785,147"	"2,797,041"	"2,816,595"	"2,838,352"	"2,855,994"	"2,874,122"	"2,890,784"	"2,907,360"	"2,927,262"	"2,945,097"	"2,962,506"	"2,982,355"	"3,002,343"	"3,018,737"	"3,036,428"	"3,058,280"	"3,076,115"	"3,094,790"	"3,110,685"	"3,131,198"	"3,147,706"	"3,164,211"	"3,184,087"	"3,205,549"	"3,230,894"	"3,249,821"	"3,271,676"	"3,289,861"	"3,311,251"	"3,336,134"	"3,362,121"	"3,382,796"	"3,407,617"	"3,427,124"	"3,458,047"	"3,482,966"	"3,503,167"	"3,525,358"	"3,547,764"	"3,579,610"	"3,609,193"	"3,637,671"	"3,665,530"	"3,693,927"	"3,726,744"	"3,757,720"	"3,784,686"	"3,822,398"	"3,859,970"	"3,906,687"	"3,941,956"	"3,977,117"	"4,021,368"	"4,067,196"	"4,118,632"	"4,209,319"	"4,266,324"	"4,323,449"	"4,384,293"	"4,466,557"	"4,552,939"	"4,646,799"	"4,788,292"	"4,923,339"	"5,095,549"	"5,375,909"	"5,796,291"
Communication Technology	"1,067,421"	"1,140,198"	"1,189,102"	"1,229,326"	"1,273,429"	"1,312,331"	"1,337,871"	"1,372,223"	"1,395,269"	"1,419,326"	"1,440,438"	"1,470,309"	"1,492,940"	"1,512,949"	"1,533,686"	"1,550,314"	"1,571,909"	"1,590,395"	"1,606,283"	"1,626,437"	"1,641,985"	"1,660,726"	"1,680,241"	"1,694,195"	"1,705,984"	"1,717,107"	"1,730,242"	"1,747,773"	"1,760,698"	"1,771,277"	"1,784,892"	"1,806,952"	"1,818,769"	"1,834,424"	"1,847,695"	"1,859,750"	"1,874,807"	"1,887,656"	"1,904,308"	"1,925,193"	"1,938,791"	"1,954,415"	"1,971,928"	"1,984,152"	"1,999,468"	"2,014,174"	"2,029,593"	"2,044,754"	"2,058,813"	"2,072,067"	"2,086,453"	"2,096,979"	"2,113,469"	"2,127,320"	"2,144,657"	"2,161,412"	"2,179,087"	"2,192,416"	"2,205,613"	"2,223,503"	"2,238,478"	"2,251,360"	"2,269,490"	"2,285,756"	"2,302,682"	"2,321,770"	"2,337,342"	"2,360,008"	"2,385,616"	"2,401,847"	"2,426,472"	"2,454,521"	"2,481,836"	"2,507,516"	"2,524,654"	"2,542,475"	"2,568,214"	"2,597,332"	"2,628,719"	"2,656,412"	"2,687,020"	"2,709,484"	"2,744,744"	"2,784,092"	"2,818,556"	"2,868,050"	"2,914,646"	"2,964,251"	"3,010,560"	"3,057,955"	"3,125,698"	"3,193,321"	"3,248,916"	"3,337,873"	"3,430,506"	"3,518,314"	"3,627,754"	"3,789,115"	"4,187,178"
Communications	"1,276,427"	"1,394,609"	"1,466,878"	"1,499,937"	"1,543,214"	"1,585,471"	"1,620,513"	"1,651,547"	"1,681,344"	"1,710,134"	"1,734,172"	"1,763,301"	"1,788,794"	"1,822,586"	"1,841,164"	"1,866,657"	"1,889,497"	"1,909,164"	"1,927,309"	"1,952,772"	"1,975,153"	"1,989,947"	"2,008,458"	"2,033,284"	"2,053,706"	"2,073,217"	"2,095,260"	"2,114,295"	"2,132,141"	"2,143,352"	"2,168,075"	"2,186,946"	"2,204,605"	"2,224,113"	"2,238,948"	"2,260,969"	"2,276,786"	"2,297,018"	"2,313,952"	"2,329,684"	"2,352,877"	"2,366,474"	"2,382,261"	"2,405,057"	"2,414,164"	"2,432,610"	"2,448,777"	"2,463,518"	"2,479,394"	"2,492,454"	"2,512,821"	"2,529,741"	"2,548,149"	"2,565,547"	"2,584,309"	"2,604,253"	"2,624,464"	"2,646,469"	"2,670,071"	"2,686,745"	"2,705,611"	"2,727,437"	"2,749,577"	"2,769,426"	"2,784,486"	"2,801,799"	"2,828,235"	"2,852,543"	"2,872,154"	"2,899,728"	"2,923,309"	"2,950,797"	"2,980,959"	"3,018,510"	"3,041,800"	"3,072,301"	"3,106,329"	"3,146,283"	"3,184,932"	"3,220,280"	"3,261,124"	"3,299,417"	"3,347,939"	"3,382,972"	"3,419,794"	"3,464,044"	"3,522,349"	"3,583,944"	"3,653,215"	"3,718,414"	"3,789,853"	"3,846,907"	"3,942,541"	"4,041,825"	"4,192,649"	"4,366,592"	"4,615,594"	"4,964,365"	"5,441,949"
Composition and Rhetoric	"1,012,676"	"1,094,654"	"1,155,244"	"1,206,232"	"1,240,385"	"1,269,928"	"1,303,412"	"1,335,836"	"1,358,527"	"1,377,510"	"1,409,438"	"1,427,981"	"1,441,336"	"1,464,083"	"1,479,107"	"1,499,182"	"1,526,918"	"1,547,647"	"1,562,854"	"1,580,006"	"1,594,648"	"1,609,919"	"1,623,457"	"1,639,596"	"1,656,771"	"1,674,040"	"1,687,237"	"1,704,274"	"1,719,573"	"1,735,131"	"1,746,703"	"1,761,785"	"1,773,117"	"1,786,315"	"1,802,699"	"1,820,912"	"1,835,069"	"1,848,742"	"1,863,085"	"1,880,297"	"1,895,349"	"1,912,367"	"1,926,591"	"1,941,079"	"1,955,607"	"1,974,069"	"1,987,982"	"2,000,549"	"2,020,721"	"2,035,542"	"2,051,266"	"2,068,143"	"2,088,724"	"2,106,024"	"2,124,790"	"2,145,873"	"2,163,853"	"2,183,736"	"2,204,404"	"2,221,784"	"2,237,991"	"2,254,068"	"2,270,374"	"2,293,617"	"2,309,955"	"2,329,392"	"2,347,595"	"2,369,220"	"2,389,755"	"2,407,412"	"2,431,780"	"2,450,644"	"2,475,932"	"2,496,421"	"2,520,439"	"2,554,673"	"2,590,535"	"2,626,055"	"2,659,438"	"2,692,724"	"2,726,486"	"2,745,182"	"2,779,678"	"2,820,469"	"2,855,725"	"2,902,703"	"2,956,323"	"3,006,948"	"3,057,211"	"3,128,751"	"3,194,998"	"3,285,255"	"3,385,545"	"3,469,365"	"3,589,219"	"3,730,444"	"3,881,839"	"4,120,585"	"4,470,111"
Computer Administration Management	"1,298,133"	"1,395,627"	"1,454,430"	"1,516,157"	"1,561,699"	"1,602,438"	"1,627,913"	"1,659,635"	"1,685,024"	"1,708,899"	"1,735,039"	"1,758,161"	"1,779,485"	"1,798,318"	"1,814,944"	"1,839,778"	"1,863,351"	"1,877,420"	"1,894,598"	"1,909,723"	"1,924,977"	"1,943,262"	"1,957,954"	"1,974,071"	"1,988,419"	"2,009,674"	"2,025,683"	"2,037,975"	"2,056,768"	"2,071,912"	"2,084,130"	"2,099,206"	"2,114,108"	"2,130,479"	"2,140,893"	"2,157,337"	"2,169,590"	"2,184,043"	"2,199,663"	"2,216,062"	"2,233,921"	"2,249,411"	"2,261,627"	"2,280,343"	"2,298,298"	"2,309,849"	"2,322,066"	"2,335,137"	"2,352,085"	"2,368,580"	"2,384,918"	"2,402,508"	"2,417,523"	"2,434,844"	"2,455,696"	"2,469,158"	"2,486,414"	"2,506,120"	"2,526,697"	"2,540,323"	"2,557,083"	"2,573,997"	"2,594,790"	"2,612,871"	"2,629,149"	"2,647,585"	"2,665,945"	"2,690,857"	"2,711,849"	"2,728,942"	"2,755,122"	"2,778,727"	"2,804,985"	"2,828,979"	"2,853,151"	"2,881,210"	"2,910,260"	"2,940,120"	"2,971,873"	"3,003,644"	"3,038,982"	"3,081,861"	"3,106,403"	"3,153,448"	"3,192,955"	"3,240,902"	"3,277,075"	"3,323,046"	"3,390,181"	"3,430,760"	"3,497,155"	"3,564,671"	"3,635,597"	"3,692,810"	"3,786,285"	"3,919,147"	"4,123,069"	"4,309,430"	"4,671,043"
Computer Engineering	"1,907,162"	"2,067,476"	"2,142,362"	"2,217,060"	"2,277,945"	"2,326,773"	"2,367,583"	"2,412,035"	"2,442,872"	"2,472,472"	"2,513,168"	"2,540,751"	"2,580,539"	"2,607,262"	"2,631,448"	"2,660,341"	"2,686,875"	"2,709,374"	"2,732,972"	"2,755,719"	"2,777,405"	"2,807,281"	"2,830,150"	"2,853,383"	"2,874,575"	"2,902,162"	"2,923,860"	"2,939,875"	"2,963,202"	"2,985,452"	"3,007,269"	"3,027,907"	"3,043,910"	"3,061,035"	"3,082,851"	"3,105,688"	"3,127,684"	"3,150,421"	"3,179,104"	"3,199,052"	"3,219,460"	"3,240,302"	"3,258,179"	"3,279,053"	"3,303,427"	"3,323,803"	"3,340,334"	"3,361,519"	"3,379,957"	"3,408,472"	"3,424,078"	"3,440,793"	"3,460,837"	"3,482,273"	"3,496,078"	"3,526,915"	"3,542,617"	"3,566,314"	"3,592,260"	"3,614,159"	"3,638,745"	"3,658,084"	"3,682,106"	"3,707,986"	"3,730,856"	"3,758,843"	"3,789,562"	"3,811,832"	"3,838,005"	"3,861,305"	"3,883,544"	"3,913,114"	"3,949,820"	"3,978,301"	"4,007,365"	"4,044,479"	"4,088,716"	"4,120,042"	"4,155,843"	"4,191,278"	"4,237,262"	"4,285,943"	"4,306,337"	"4,365,299"	"4,412,389"	"4,459,042"	"4,513,390"	"4,566,248"	"4,635,926"	"4,712,271"	"4,810,729"	"4,902,755"	"4,970,616"	"5,076,849"	"5,189,286"	"5,379,396"	"5,594,672"	"5,877,892"	"6,381,824"
Computer Networking and Telecommunications	"1,271,568"	"1,389,450"	"1,443,412"	"1,500,029"	"1,546,376"	"1,588,592"	"1,610,504"	"1,637,417"	"1,662,183"	"1,690,116"	"1,711,327"	"1,735,334"	"1,752,375"	"1,773,117"	"1,791,280"	"1,810,356"	"1,828,583"	"1,848,563"	"1,863,271"	"1,882,310"	"1,900,657"	"1,913,671"	"1,929,198"	"1,945,216"	"1,961,581"	"1,976,365"	"1,987,651"	"2,004,150"	"2,014,462"	"2,034,683"	"2,050,745"	"2,067,388"	"2,082,243"	"2,099,131"	"2,112,850"	"2,129,191"	"2,144,355"	"2,158,441"	"2,174,026"	"2,192,051"	"2,204,193"	"2,220,553"	"2,236,273"	"2,252,850"	"2,269,295"	"2,283,137"	"2,293,427"	"2,307,653"	"2,319,769"	"2,335,827"	"2,352,283"	"2,367,181"	"2,382,634"	"2,399,561"	"2,410,356"	"2,425,245"	"2,443,932"	"2,459,578"	"2,474,414"	"2,491,007"	"2,514,259"	"2,531,304"	"2,554,580"	"2,572,678"	"2,594,522"	"2,616,928"	"2,639,284"	"2,660,061"	"2,681,604"	"2,701,094"	"2,722,177"	"2,743,425"	"2,768,678"	"2,798,556"	"2,818,394"	"2,839,070"	"2,865,846"	"2,903,417"	"2,926,745"	"2,963,796"	"2,996,857"	"3,023,132"	"3,057,578"	"3,094,711"	"3,132,907"	"3,164,116"	"3,204,225"	"3,250,065"	"3,290,148"	"3,338,931"	"3,387,903"	"3,449,837"	"3,531,636"	"3,642,943"	"3,730,115"	"3,854,991"	"4,016,326"	"4,253,178"	"4,623,972"
Computer Programming	"1,381,160"	"1,486,637"	"1,549,019"	"1,591,768"	"1,635,839"	"1,675,739"	"1,719,503"	"1,753,139"	"1,784,820"	"1,809,275"	"1,838,542"	"1,865,535"	"1,891,969"	"1,913,403"	"1,935,277"	"1,958,508"	"1,979,746"	"2,006,476"	"2,022,503"	"2,038,310"	"2,058,932"	"2,080,101"	"2,095,679"	"2,110,166"	"2,129,547"	"2,142,851"	"2,153,504"	"2,167,485"	"2,185,980"	"2,207,119"	"2,224,320"	"2,245,649"	"2,266,994"	"2,286,183"	"2,300,977"	"2,316,265"	"2,330,640"	"2,354,462"	"2,371,260"	"2,382,540"	"2,398,358"	"2,415,053"	"2,435,531"	"2,451,348"	"2,467,037"	"2,485,271"	"2,503,100"	"2,515,676"	"2,537,541"	"2,556,315"	"2,582,144"	"2,599,452"	"2,622,689"	"2,642,445"	"2,668,694"	"2,688,175"	"2,712,070"	"2,733,778"	"2,753,373"	"2,773,723"	"2,800,406"	"2,820,997"	"2,837,938"	"2,863,042"	"2,879,640"	"2,899,673"	"2,922,940"	"2,945,026"	"2,969,168"	"3,000,742"	"3,033,839"	"3,059,598"	"3,088,743"	"3,113,983"	"3,139,558"	"3,163,811"	"3,190,578"	"3,224,173"	"3,258,701"	"3,284,678"	"3,319,106"	"3,377,800"	"3,412,565"	"3,450,860"	"3,484,822"	"3,541,265"	"3,590,682"	"3,644,805"	"3,708,163"	"3,784,867"	"3,839,287"	"3,932,033"	"4,023,029"	"4,148,028"	"4,271,686"	"4,406,682"	"4,575,568"	"4,819,006"	"5,213,952"
Computer Science	"1,833,017"	"1,950,713"	"2,025,814"	"2,103,237"	"2,153,124"	"2,212,516"	"2,257,061"	"2,300,823"	"2,336,536"	"2,372,833"	"2,394,785"	"2,419,010"	"2,448,012"	"2,474,765"	"2,496,685"	"2,523,609"	"2,554,556"	"2,578,599"	"2,600,097"	"2,618,207"	"2,635,071"	"2,656,114"	"2,680,547"	"2,701,482"	"2,722,473"	"2,746,364"	"2,768,178"	"2,787,521"	"2,803,819"	"2,829,514"	"2,847,197"	"2,871,250"	"2,888,835"	"2,907,255"	"2,922,392"	"2,938,105"	"2,965,123"	"2,981,960"	"3,005,508"	"3,020,704"	"3,034,180"	"3,057,335"	"3,078,520"	"3,096,185"	"3,117,171"	"3,135,024"	"3,157,602"	"3,179,053"	"3,198,518"	"3,216,832"	"3,240,620"	"3,259,117"	"3,276,766"	"3,295,220"	"3,315,820"	"3,336,366"	"3,352,983"	"3,379,469"	"3,398,595"	"3,419,932"	"3,437,778"	"3,466,443"	"3,500,799"	"3,530,534"	"3,556,876"	"3,582,597"	"3,614,469"	"3,643,973"	"3,672,922"	"3,717,055"	"3,738,768"	"3,774,971"	"3,805,422"	"3,843,146"	"3,877,253"	"3,908,805"	"3,938,776"	"3,976,977"	"4,006,501"	"4,032,357"	"4,076,833"	"4,117,053"	"4,158,269"	"4,205,332"	"4,262,643"	"4,310,046"	"4,374,559"	"4,437,293"	"4,495,395"	"4,550,715"	"4,626,130"	"4,708,607"	"4,804,656"	"4,911,113"	"5,050,777"	"5,208,103"	"5,422,755"	"5,623,371"	"6,031,738"
Computer and Information Systems	"1,532,033"	"1,623,750"	"1,694,610"	"1,741,367"	"1,794,093"	"1,829,549"	"1,864,424"	"1,901,334"	"1,926,428"	"1,957,515"	"1,984,891"	"2,009,323"	"2,029,814"	"2,065,370"	"2,089,832"	"2,107,497"	"2,133,217"	"2,151,878"	"2,173,050"	"2,187,700"	"2,207,448"	"2,224,988"	"2,242,086"	"2,262,200"	"2,279,344"	"2,292,016"	"2,309,460"	"2,331,047"	"2,343,189"	"2,355,492"	"2,373,896"	"2,387,747"	"2,401,652"	"2,415,899"	"2,437,425"	"2,452,576"	"2,467,113"	"2,481,029"	"2,493,988"	"2,517,064"	"2,538,462"	"2,552,879"	"2,573,092"	"2,592,696"	"2,607,465"	"2,622,307"	"2,637,052"	"2,657,624"	"2,679,286"	"2,697,976"	"2,713,895"	"2,731,613"	"2,751,824"	"2,767,705"	"2,782,191"	"2,795,621"	"2,812,094"	"2,829,071"	"2,847,470"	"2,868,618"	"2,889,223"	"2,903,626"	"2,924,926"	"2,946,194"	"2,968,942"	"2,997,347"	"3,018,548"	"3,038,417"	"3,062,950"	"3,083,875"	"3,105,068"	"3,131,535"	"3,154,316"	"3,181,025"	"3,209,308"	"3,243,942"	"3,276,596"	"3,307,541"	"3,338,016"	"3,362,921"	"3,386,925"	"3,425,109"	"3,456,669"	"3,499,466"	"3,540,751"	"3,582,575"	"3,624,073"	"3,684,839"	"3,731,532"	"3,789,128"	"3,850,497"	"3,926,601"	"3,995,511"	"4,077,764"	"4,202,015"	"4,315,199"	"4,455,413"	"4,604,629"	"4,996,181"
Construction	"1,827,862"	"1,925,131"	"1,990,184"	"2,029,274"	"2,079,679"	"2,114,699"	"2,145,474"	"2,173,600"	"2,202,298"	"2,225,844"	"2,255,923"	"2,286,607"	"2,312,567"	"2,332,470"	"2,352,591"	"2,373,075"	"2,391,761"	"2,410,924"	"2,433,008"	"2,450,264"	"2,467,919"	"2,488,580"	"2,509,709"	"2,525,274"	"2,546,541"	"2,564,814"	"2,585,139"	"2,606,636"	"2,618,499"	"2,634,820"	"2,648,468"	"2,659,403"	"2,679,113"	"2,693,446"	"2,708,377"	"2,722,264"	"2,736,496"	"2,756,331"	"2,769,882"	"2,784,056"	"2,802,218"	"2,816,162"	"2,829,969"	"2,846,826"	"2,863,139"	"2,878,810"	"2,894,985"	"2,908,168"	"2,926,319"	"2,949,295"	"2,963,228"	"2,983,251"	"3,001,197"	"3,020,917"	"3,039,988"	"3,063,980"	"3,079,137"	"3,093,804"	"3,115,381"	"3,132,114"	"3,154,091"	"3,171,027"	"3,191,275"	"3,210,730"	"3,230,402"	"3,248,957"	"3,277,129"	"3,300,789"	"3,326,549"	"3,356,462"	"3,378,404"	"3,402,260"	"3,428,563"	"3,449,462"	"3,477,373"	"3,499,913"	"3,531,339"	"3,565,843"	"3,593,290"	"3,622,172"	"3,652,304"	"3,681,813"	"3,718,829"	"3,750,796"	"3,805,138"	"3,849,416"	"3,889,775"	"3,935,253"	"3,982,265"	"4,035,646"	"4,103,703"	"4,167,788"	"4,243,826"	"4,339,954"	"4,425,420"	"4,543,060"	"4,714,623"	"4,906,922"	"5,238,952"
Consumer Science	"939,754"	"1,048,093"	"1,104,568"	"1,148,935"	"1,184,677"	"1,229,210"	"1,264,304"	"1,290,537"	"1,305,007"	"1,328,671"	"1,359,048"	"1,379,004"	"1,399,543"	"1,414,447"	"1,429,631"	"1,443,735"	"1,457,364"	"1,473,188"	"1,490,997"	"1,506,827"	"1,520,634"	"1,536,783"	"1,549,154"	"1,563,923"	"1,580,449"	"1,595,649"	"1,611,263"	"1,627,102"	"1,640,838"	"1,656,011"	"1,669,284"	"1,684,975"	"1,701,418"	"1,714,725"	"1,729,661"	"1,741,878"	"1,755,742"	"1,770,726"	"1,783,745"	"1,798,912"	"1,813,005"	"1,825,683"	"1,841,939"	"1,857,125"	"1,872,911"	"1,886,928"	"1,899,604"	"1,913,202"	"1,929,023"	"1,942,230"	"1,955,026"	"1,971,218"	"1,984,384"	"1,999,724"	"2,016,060"	"2,035,982"	"2,048,139"	"2,068,911"	"2,081,794"	"2,097,933"	"2,116,878"	"2,135,393"	"2,148,065"	"2,159,397"	"2,176,352"	"2,195,227"	"2,217,537"	"2,236,071"	"2,253,030"	"2,271,595"	"2,291,443"	"2,316,973"	"2,340,968"	"2,366,930"	"2,391,447"	"2,419,741"	"2,451,485"	"2,476,100"	"2,510,406"	"2,535,222"	"2,573,014"	"2,607,376"	"2,639,906"	"2,677,602"	"2,722,089"	"2,760,338"	"2,803,804"	"2,857,016"	"2,920,238"	"2,983,035"	"3,027,950"	"3,078,753"	"3,145,344"	"3,234,871"	"3,310,887"	"3,452,730"	"3,632,412"	"3,828,351"	"4,287,851"
Cosmetology	"1,016,962"	"1,113,641"	"1,158,271"	"1,203,693"	"1,240,422"	"1,264,461"	"1,289,439"	"1,304,540"	"1,332,854"	"1,348,956"	"1,362,866"	"1,381,875"	"1,401,300"	"1,424,374"	"1,441,160"	"1,459,335"	"1,470,713"	"1,484,017"	"1,497,943"	"1,514,142"	"1,527,970"	"1,538,942"	"1,549,678"	"1,560,304"	"1,571,678"	"1,583,512"	"1,597,237"	"1,610,029"	"1,621,767"	"1,631,049"	"1,641,872"	"1,652,952"	"1,665,090"	"1,676,458"	"1,684,746"	"1,695,258"	"1,706,931"	"1,721,325"	"1,731,146"	"1,746,144"	"1,758,741"	"1,772,088"	"1,781,550"	"1,792,930"	"1,805,594"	"1,818,456"	"1,832,149"	"1,843,334"	"1,855,503"	"1,866,333"	"1,880,363"	"1,890,878"	"1,902,430"	"1,914,603"	"1,927,611"	"1,941,431"	"1,952,442"	"1,961,452"	"1,976,917"	"1,991,413"	"2,003,744"	"2,017,228"	"2,030,259"	"2,045,140"	"2,059,164"	"2,076,179"	"2,091,392"	"2,102,626"	"2,119,281"	"2,136,568"	"2,153,724"	"2,171,192"	"2,188,471"	"2,201,855"	"2,221,327"	"2,242,780"	"2,261,034"	"2,286,450"	"2,315,032"	"2,341,681"	"2,361,619"	"2,383,684"	"2,408,533"	"2,434,994"	"2,469,378"	"2,495,662"	"2,526,223"	"2,565,853"	"2,605,969"	"2,639,368"	"2,703,598"	"2,761,472"	"2,826,962"	"2,899,885"	"2,985,829"	"3,059,624"	"3,208,601"	"3,344,927"	"3,595,983"
Criminal Justice	"1,213,838"	"1,301,232"	"1,367,223"	"1,419,670"	"1,448,162"	"1,478,127"	"1,516,283"	"1,553,271"	"1,579,984"	"1,604,593"	"1,629,152"	"1,646,573"	"1,665,936"	"1,682,420"	"1,700,484"	"1,716,886"	"1,734,168"	"1,746,286"	"1,760,407"	"1,774,303"	"1,789,137"	"1,803,930"	"1,821,832"	"1,837,280"	"1,852,919"	"1,870,168"	"1,883,277"	"1,897,879"	"1,914,655"	"1,926,407"	"1,939,127"	"1,952,154"	"1,966,242"	"1,979,472"	"1,997,180"	"2,009,641"	"2,019,585"	"2,033,205"	"2,044,302"	"2,056,128"	"2,069,522"	"2,082,559"	"2,095,178"	"2,111,186"	"2,126,033"	"2,135,510"	"2,151,101"	"2,165,299"	"2,179,564"	"2,194,754"	"2,208,454"	"2,219,982"	"2,233,499"	"2,250,396"	"2,265,589"	"2,286,053"	"2,301,804"	"2,317,115"	"2,332,171"	"2,344,596"	"2,367,810"	"2,382,765"	"2,400,964"	"2,419,624"	"2,437,664"	"2,451,921"	"2,467,436"	"2,484,371"	"2,500,571"	"2,518,071"	"2,539,906"	"2,561,801"	"2,582,392"	"2,607,199"	"2,626,521"	"2,649,568"	"2,669,909"	"2,691,572"	"2,718,012"	"2,744,916"	"2,778,870"	"2,810,034"	"2,840,528"	"2,869,699"	"2,904,557"	"2,947,896"	"2,992,822"	"3,033,964"	"3,061,686"	"3,106,855"	"3,169,755"	"3,225,005"	"3,295,328"	"3,363,132"	"3,461,741"	"3,578,391"	"3,764,783"	"3,974,298"	"4,302,280"
